16_mdi,24_mdi,32_mdi,48_mdi,64_mdi,72_mdi
-3397.2356527582742,-3397.2357228947803,-3397.2357294866815,-3397.2357058636844,-3397.2356754131615,-3397.2356737526134
-3397.2240562201478,-3397.235666912049,-3397.2356977388263,-3397.2356494059786,-3397.2357471557334,-3397.2355393138714
-3397.2358077978715,-3397.235722400248,-3397.235755554866,-3397.235680085141,-3397.235756894108,-3397.235615676269
-3397.23575313529,-3397.2357483725064,-3397.235768699087,-3397.2356642526574,-3397.235709463712,-3397.235524996184
-3397.235735835973,-3397.235821309965,-3397.235706319567,-3397.235696306918,-3397.235728887841,-3397.2356404066086
-3397.235722015146,-3397.2357349488884,-3397.235749163199,-3397.23569688946,-3397.2357063582167,-3397.235645886045
-3397.235848190263,-3397.2357760677114,-3397.2357657128014,-3397.2356946119107,-3397.2357010282576,-3397.235653027892
-3397.235657430254,-3397.2357278545387,-3397.2357327006757,-3397.235706459265,-3397.2357333372347,-3397.2356628184207
-3397.2357033188455,-3397.225402338896,-3397.2357051419094,-3397.235714804381,-3397.2356979199685,-3397.2354665868916
-3397.2356943576597,-3397.2357943109237,-3397.235594611615,-3397.2357040173374,-3397.2356948237866,-3397.23551512463
-3397.2356788115576,-3397.235818945337,-3397.2357392488047,-3397.235703074839,-3397.2357023423538,-3397.2355095366947
-3397.235686410684,-3397.235797913745,-3397.235710027162,-3397.235756232403,-3397.2357315090485,-3397.235761839431
-3397.235657989979,-3397.235733584501,-3397.235816430766,-3397.2358892150223,-3397.2357122837566,-3397.2357608610764
-3397.2356615895405,-3397.2221189429983,-3397.2357460334897,-3397.2357260896824,-3397.2357028238475,-3397.2349708680995
-3397.235717548523,-3397.2358249276876,-3397.235710229259,-3397.235725145787,-3397.2357410490513,-3397.235726772342
-3397.2357475007884,-3397.2359384349547,-3397.2356924330816,-3397.2356022740714,-3397.2357019414194,-3397.2356473561376
-3397.2356682410464,-3397.236017683521,-3397.23585701501,-3397.2354184277356,-3397.2357264868915,-3397.235328114126
-3397.235703031067,-3397.2356959213503,-3397.2357224202715,-3397.235698582139,-3397.2357167219743,-3397.2357095312327
-3397.2356873159297,-3397.235718307551,-3397.2358025610447,-3397.2357105240226,-3397.2356968405657,-3397.2356600114144
-3397.2356625641696,-3397.2356892302632,-3397.23568843212,-3397.235716037918,-3397.2356943506747,-3397.235277544707
-3397.2356810662895,-3397.2357182810083,-3397.2357552303,-3397.2357189077884,-3397.2357100043446,-3397.2357371528633
-3397.235687014647,-3397.2357120499946,-3397.2357305730693,-3397.23566898657,-3397.235708176624,-3397.2356374440715
-3397.2356521734037,-3397.2357177338563,-3397.235815183725,-3397.235689106863,-3397.2356902104802,-3397.2354447017424
-3397.235689325258,-3397.2357294070534,-3397.235778284725,-3397.2357245907187,-3397.235658517573,-3397.235784528777
-3397.2356968200766,-3397.235768821556,-3397.23577715829,-3397.2357119414955,-3397.2356734969653,-3397.235703105107
-3397.2356829387136,-3397.2357165939175,-3397.235710627865,-3397.235632245429,-3397.235658260528,-3397.2355839908123
-3397.2356976284645,-3397.235711312853,-3397.2357257031836,-3397.2357184798457,-3397.2356698135845,-3397.2355535374954
-3397.235702511389,-3397.235716612544,-3397.2357679549605,-3397.2357166833244,-3397.2356867729686,-3397.2354728928767
-3397.2356808204204,-3397.235715200193,-3397.235726132989,-3397.235714569688,-3397.235316115897,-3397.235357030295
